bottom_left_pixel_x,bottom_left_pixel_y,top_left_pixel_x,top_left_pixel_y,top_right_pixel_x,top_right_pixel_y,bottom_right_pixel_x,bottom_right_pixel_y
1391.6371,685.9691,1404.3938,839.78656,1548.6997,838.4557,1544.2173,692.8348
1388.998,682.67224,1403.371,842.3681,1545.8665,836.02637,1542.8053,693.7206
1393.6348,688.22186,1404.2322,840.0739,1552.9752,842.27545,1543.6553,693.686
1396.2019,690.2179,1406.9763,837.81055,1553.4127,843.5816,1545.0339,691.3871
1395.6625,690.20966,1403.1046,842.58673,1552.3676,840.9255,1541.3735,694.82855
1393.1835,687.4291,1405.8495,839.64594,1551.3921,841.324,1543.7714,692.6495
1393.9462,689.28156,1406.5608,839.3784,1552.2797,840.71265,1544.4369,690.96423
1394.8944,689.16425,1404.1858,841.90857,1550.3175,840.0042,1543.2943,692.5476
1402.7804,697.96674,1398.7614,846.85095,1560.1788,847.8549,1535.4637,701.0423
1394.6418,689.53766,1405.9668,838.7716,1553.7739,843.00665,1544.6918,691.8179
1393.926,689.1731,1404.8707,839.6489,1551.9873,840.9512,1543.6383,693.1732
1392.8422,687.38354,1406.2424,839.24146,1549.5516,839.21204,1544.316,691.3527
1398.3281,691.96027,1399.0771,846.09955,1552.0222,841.05273,1539.9323,697.333
1395.8937,689.7053,1404.7041,840.0357,1553.5555,843.9682,1544.1813,692.96216
1393.0911,688.32837,1406.2385,839.16693,1551.7415,840.4967,1543.343,692.87305
1392.725,687.8328,1402.1892,842.2104,1551.6844,840.2343,1542.5667,694.953
1389.161,683.2751,1406.9172,839.1841,1548.6992,838.60583,1544.5232,690.9856
1391.4961,686.3876,1404.8722,841.12054,1550.2865,839.9382,1544.3265,692.096
1396.1261,690.17426,1406.1075,839.56244,1552.7195,842.5117,1543.9397,691.35986
1387.9667,682.989,1406.3433,839.20844,1545.6067,835.4391,1544.5493,691.56903
1395.2428,689.6771,1403.5361,839.73694,1554.9192,844.2871,1543.9911,693.6856
1401.6641,695.97424,1399.7577,845.2402,1556.712,845.564,1537.6494,699.2621
1392.8142,687.81934,1404.0887,841.32416,1552.4829,841.2184,1544.3967,691.82635
1393.251,687.8778,1401.8761,842.4068,1550.8881,840.2943,1540.9323,696.868
1391.7938,685.81665,1396.6447,846.2055,1547.8901,837.5813,1539.1946,701.1451
1396.2686,689.82916,1407.6996,836.8638,1552.6139,843.3102,1545.8159,690.9771
1393.062,687.7394,1402.4076,842.3311,1551.2593,840.4158,1542.4066,694.655
1395.205,690.80493,1405.9205,838.4924,1553.9464,842.9053,1544.832,692.1979
1395.6475,689.30786,1404.8555,840.44073,1551.9917,842.1562,1543.2595,692.9201
1392.3579,686.89703,1402.7273,842.5188,1549.727,839.6686,1542.3701,694.1913
1392.5564,687.9068,1400.1029,843.3391,1551.7784,840.13416,1540.8766,698.1177
1396.9678,691.9436,1403.9929,839.79767,1555.8387,844.60516,1543.779,692.7988
1394.759,689.4545,1403.7533,841.68463,1553.2799,842.9018,1542.3359,693.1119
1399.8151,694.48444,1404.101,841.05054,1555.1597,844.0234,1542.9563,693.083
1395.1572,689.5889,1402.7678,842.2869,1552.4005,841.55634,1542.9126,694.4167
1395.5511,690.8509,1403.9873,840.828,1553.319,842.24274,1543.1536,693.2269
1394.7389,688.90686,1402.054,841.28906,1552.1302,841.64856,1543.3103,695.30383
1396.9376,691.6604,1408.2476,838.1789,1554.5931,844.00165,1544.7504,689.4007
1392.7754,686.66595,1406.4359,839.19434,1552.3094,842.2027,1544.7964,690.82513
1395.1155,689.0491,1404.8312,841.25024,1552.7661,842.6926,1541.9193,693.2518
1394.4738,688.93896,1405.9231,835.74225,1551.4138,841.3251,1547.0516,692.6006
1393.6511,689.97406,1402.1406,843.9733,1553.4562,840.43787,1538.9917,696.8434
1394.7478,688.57983,1407.1544,838.3845,1551.7181,842.05774,1544.8525,690.4573
1394.3967,688.56366,1403.6056,842.042,1552.1068,841.70386,1542.9502,693.0379
1403.967,700.0576,1394.36,848.0805,1560.3699,847.2107,1534.2932,705.7524
